id,pn
LUCAS,1
MARIA,2
MIRIAN,0
JOSE,2
JOAO,2
WILSON,0
JACKSON,0
ADEMAR,0
BENTO,0
MARINALVA,0
CECILIA,0
HILDA,0
LUCIANA,0
ROBERTO,0
PAULO,1
ROSILDA,0
JUCELINO,0
LENICE,0
SARAH,0
SAMUEL,0
ANTONIA,1
FRANCISCO,1
GILMARA,0
MAURA,0
SANDRA,0
JOAQUIM,0
EURIPEDES,0
FABIOLA,0
EUNICE,0
ANTONIO,2
DIEGO,0
CARMOSINA,0
JUSTINA,0
CLEONICE,0
RAIMUNDO,1
JOSEFA,0
AGRIPINO,0
ODETE,0
SALVADOR,0
TEREZINHA,0
CRISTOVAO,0
RAIMUNDA,1
ROSILEIA,0
DANIEL,1
LIVIA,0
LUANA,0
NILSON,0
FRANCISCA,1
HELIA,0
DAMIANA,0
FERNANDA,0
INGRID,0
RITA,0
ANA,2
ALMERINDA,0
IRACEMA,0
YASMIM,0
ROMILDO,0
NEILTON,0
LILIANE,0
RENATO,0
KARINY,0
MIKAEL,0
VANDA,0
DIOGO,0
TAIS,0
DANIELA,0
LEILA,0
PEDRO,1
ENEDINA,0
ZELIA,0
LAZARA,0
SOFIA,0
LETICIA,0
DEBORA,0
SABINA,0
SILVIA,0
CACILDA,0
GLAUCIANE,0
AMARO,0
MANOEL,1
ELZA,0
LUZIA,1
NARCISO,0
WAGNER,0
SABRINA,0
LAZARO,0
ARLETE,0
JAIME,0
DELZUITA,0
AILTON,0
JOELMA,0
SEBASTIAO,1
ADRIANO,0
EURIDES,0
LUCIA,0
TOME,0
CICERA,0
CICERO,0
SILVANE,0
TEREZA,0
ANDREIA,0
OTILIA,0
ALAIDE,0
NILZA,0
SILMARA,0
ADRIANA,0
LUZINETE,0
ALVARO,0
RUAN,0
JOSAFA,0
GABRIEL,1
FABIO,0
REJANE,0
DIVINO,0
ELIANE,0
DAIANE,0
VERA,0
JOEL,0
DOMINGOS,1
RAFAELA,0
CIBELE,0
VITORIA,0
LUZIENE,0
CRISTIANE,0
REGIANE,0
PAMELA,0
ADAO,0
SEBASTIANA,0
LIDIA,0
PATRICIA,0
ROMAO,0
VANDERLEIA,0
JANDIRA,0
MARINA,0
ALBINO,0
ELTON,0
AUGUSTO,0
EDILENE,0
LUIZ,1
CLEIDIANE,0
DIVINA,0
VICTOR,0
EUZEBIO,0
REGINALDO,0
ALINE,0
TALITA,0
ANDRE,0
SUZANE,0
DEUSIRENE,0
EDMAR,0
SIMONE,0
VALTER,0
ROMARIO,0
JURACI,0
