id,pnm
LUZINETE,0
LUIZA,1
MARIA,2
ANTONIA,2
ANA,2
CARMOSINA,0
JOVELINA,0
TEREZINHA,1
DARLENE,0
LAURITA,0
IRACI,0
DOMINGA,0
ANGELINA,0
JOSEFA,1
CLEONICE,0
LUZIA,1
MARCIA,0
BETANIA,0
VITORINA,0
SIMONE,0
LUCILENE,0
ANGELA,0
RAIMUNDA,2
IZABEL,1
LUCIENE,0
JOVITA,0
SILVERIA,0
ROSELY,0
GERALDA,0
MARINEZ,0
ROSALINA,0
ILDA,0
JOANA,2
SUELY,0
ISABEL,1
JACY,0
FRANCISCA,2
FELIPA,0
LINDINALVA,0
JULIA,1
PETRONILIA,0
RITA,1
LUCIMARA,0
ANTONIO,0
ROSANA,0
LIDIANE,0
ROSA,1
MARGARIDA,0
FRANCILENE,0
DOMINGAS,1
DORACY,0
MARINA,0
POLIANA,0
ALICE,0
MERCES,0
BENILDE,0
TATIANA,0
MIRIAM,0
DIVINA,0
ELIZETE,0
DORALICE,0
FILOMENA,0
EUNICE,0
BENVINDA,0
MIGUELINA,0
ELZA,0
MARTA,0
DEUSILENE,0
EVA,1
EDILENE,0
MAGNOLIA,0
GERCINA,0
NAZARE,0
TEREZA,1
VITORIA,0
OTACILIA,0
AMBROZINA,0
MARLENE,1
VALDIVINA,0
MAURINA,0
JOAQUINA,0
ELVIRA,0
LUCIMAR,0
FELIZARDA,0
NAIRA,0
BALBINA,0
EVANGELINA,0
JULIETA,0
NEUSA,0
ELIZABETE,0
SANTINA,0
JESUINA,0
FRANCINETE,0
GERONIMA,0
CREUZA,0
PETRONILHA,0
CELINA,0
ELIENE,0
HONORINA,0
SIRLEI,0
ESTELA,0
DORCELINA,0
GENECY,0
SEBASTIANA,1
DEUZIRENE,0
GLEICIANE,0
LUZIRENE,0
CLAUDIA,0
FELICIA,0
SABINA,0
VERONICE,0
EDILIA,0
SERGIA,0
ANTONIETA,0
HELENA,1
JAQUELINE,0
CORACI,0
SOLANGE,0
TOMASIA,0
ROSELI,0
ZILMA,0
DJANIRA,0
ALDENI,0
CICERA,0
EMILIA,0
SONIA,0
LIDIA,0
CINTIA,0
TEODORA,0
JACINTA,0
FIRMINA,0
IRENE,0
MARTINHA,0
LUCIA,0
LUCINDA,0
DELZUITA,0
OLINDINA,0
MARINES,0
CANDIDA,0
SILVANIA,0
AMELIA,0
ALBERTINA,0
DEUSIMAR,0
ALMIRA,0
JUSTINIANA,0
LUZANIRA,0
SANDRA,1
EDINALVA,0
CLARA,0
FERNANDA,0
JULIANA,0
DEUZINA,0
LINA,0
VALDILENE,0
ADELAIDE,0
MAXIMIANA,0
VALDELICE,0
DORACI,0
NOEME,0
IZAURA,0
JUDITE,0
ELISA,0
CRISTINA,0
HOZANA,0
ALEXANDRINA,0
JOVINA,0
CELIA,0
MATILDES,0
CLAUDIANA,0
ELZIRA,0
ALDENORA,0
GILDA,0
IVONEIDE,0
DIANA,0
MADALENA,0
IDALIA,0
ROSALIA,0
RICARDA,0
CREUSA,0
DIRCE,0
JUSTINA,0
ELENA,0
SELMA,0
UMBELINA,0
IVANILDA,0
ROSILENE,0
NADIR,0
ROSANGELA,0
JACI,0
TERESINHA,0
NECI,0
IVONETE,0
CONCEICAO,0
AUREA,0
LUISA,0
ADRIANA,0
CRISTIANE,0
HILDA,0
MARIZA,0
RUT,0
MAYARA,0
MARA,0
LUCIVANIA,0
DINALVA,0
ANALIA,0
FRANCILINA,0
VANUZA,0
ERICA,0
ROSILDA,0
NEUZINA,0
SENHORINHA,0
VANDERLUCIA,0
ANGELITA,0
ELBA,0
VICENCA,0
VALDECY,0
INES,0
ROMILDA,0
DINA,0
OLINDA,0
FLORINDA,0
GILMA,0
MAURICIA,0
MAGNA,0
FRANCELINA,0
IRACY,0
JOSINA,0
LAURA,0
ELIZANGELA,0
JOSEFINA,0
ARCELINA,0
JOANICE,0
ELIANE,0
REGINA,0
NEUZA,0
DAMIANA,0
CORACY,0
EDNA,0
FRANCISCO,0
ELISANGELA,0
ANITA,0
SILVINA,0
NEIDE,0
ZITA,0
DALIA,0
AMALIA,0
BONFIM,0
EDITE,0
ELIETE,0
TELMA,0
NICOLINA,0
DALVINA,0
PAULINA,0
GUIOMAR,0
ZELIA,0
BENEDITA,0
NELY,0
LAURENTINA,0
ADELINA,0
CATARINA,0
NUBIA,0
JARDILINA,0
CONSTANCIA,0
DELZA,0
MARLY,0
ALZIRA,0
ELIANA,0
LUZIMAR,0
ALAIDE,0
LINDALVA,0
ELAINE,0
JOSELIA,0
GILMARA,0
NILZA,0
DEUSINA,0
VERA,0
NAIDE,0
GERALDINA,0
ARCANGELA,0
MARCOLINA,0
ADELIA,0
BIBIANA,0
JANETE,0
CONSTANTINA,0
CELESTINA,0
CLOTILDES,0
CLAUDINEIA,0
GLAUCIA,0
REGIANE,0
BELCINA,0
AGOSTINHA,0
OSCARINA,0
SARA,0
ALMERINDA,0
JOSIANE,0
MARGARET,0
EMILIANA,0
MARIVANIA,0
NAIR,0
RENILDA,0
LIGIA,0
EURIDES,0
LEONOR,0
GILDETE,0
ENEDINA,0
LINDAURA,0
RICARDINA,0
SUELI,0
ROSINHA,0
MARINALVA,0
CLEMENTINA,0
PEDRA,0
APARECIDA,0
LAURINDA,0
SANTANA,0
CECILIA,0
IOLANDA,0
BENTA,0
BEATRIZ,0
HORTENCIA,0
DULCE,0
DALVA,0
HERMINA,0
FLORENTINA,0
MARINETE,0
ADALGIZA,0
LIVIA,0
ONEIDE,0
EDINA,0
VICENCIA,0
ROMANA,0
ZULEIDE,0
ANAILDES,0
OSMARINA,0
ARGEMIRA,0
NILDA,0
HONORATA,0
ZILDA,0
ITELVINA,0
ERCILIA,0
SILVIA,0
FELISBELA,0
JOSILENE,0
VILMA,0
RAILDA,0
TAMIRES,0
MARILDA,0
KEILA,0
ELIZABET,0
GENI,0
MARILENE,0
VALQUIRIA,0
LEIA,0
INEZ,0
FLORENCIA,0
DOLORES,0
MANUELA,0
ELIZIA,0
NATIVIDADE,0
MAIRA,0
LENICE,0
LEONILIA,0
MARIANA,0
IRANIR,0
TERESA,0
ANAIDES,0
VERONILIA,0
DEUZUITA,0
EDILEUZA,0
DEUSAMAR,0
ONOFRA,0
MANOELA,0
JURACY,0
LEONTINA,0
GERACINA,0
JOELMA,0
EVANILDE,0
EXPEDITA,0
NATALINA,0
JURACI,0
ANDRELINA,0
DIVA,0
GRACILENE,0
DULCILENE,0
LOURDES,0
ESMERINDA,0
ALCINA,0
MARLUCIA,0
FELICIANA,0
OTILIA,0
AURORA,0
ALVINA,0
TERCINA,0
BERENICE,0
IRACEMA,0
LUANA,0
VALMIRA,0
DORILENE,0
ARCANJA,0
SEVERIANA,0
PEDRINA,0
ZELINA,0
LAUDILINA,0
GENEROSA,0
ROBERTA,0
BERTOLINA,0
MARCELINA,0
BERNARDINA,0
BERNARDA,0
LEONARDA,0
JOANITA,0
CUSTODIANA,0
INACIA,0
AVELINA,0
MINERVINA,0
ABADIA,0
SERAFINA,0
FLORACI,0
ODILIA,0
DOMITILIA,0
JANUARIA,0
TEOFILA,0
CAETANA,0
ALAIDES,0
EDUARDA,0
ANASTACIA,0
FLORA,0
DONILIA,0
ALDENIR,0
MANOELINA,0
ARACI,0
CLARINDA,0
MARI,0
CAROLINA,0
LUCIANA,0
CUSTODIA,0
PATROCINIA,0
MARCILENE,0
MINELVINA,0
VALENTINA,0
CARMINA,0
MARINEIDE,0
CORINA,0
IEDA,0
DEUSELINA,0
MESSIAS,0
ANACLETA,0
GENTILEZA,0
ROSENI,0
LUZILENE,0
PAULA,0
EULALIA,0
CARMELITA,0
ISAURA,0
FRANCINA,0
CLAUDINA,0
EVARISTA,0
ROSIRENE,0
ARLINDA,0
SELVINA,0
CARMOZINA,0
DEUZAMAR,0
ADALIA,0
DELCINA,0
NOEMI,0
CLAUDETE,0
ZUMIRA,0
TERCILIA,0
AMANCIA,0
DEJANIRA,0
GILZA,0
OZAIR,0
JACIRA,0
RUFINA,0
BARBARA,0
NECY,0
ELSA,0
BERNADETE,0
IVANILDE,0
RUTE,0
NELZA,0
PERPETUA,0
ALDERINA,0
DARCI,0
CACILDA,0
BELIZA,0
ZENILDE,0
GASPARINA,0
LUCIMARIA,0
VALDETE,0
ZENEIDE,0
ROSIMAR,0
CLARICE,0
MATILDE,0
ELIVANIA,0
QUINTINA,0
OLIMPIA,0
NERI,0
DORALINA,0
VALDENIZA,0
LEONILDES,0
VANDA,0
SILENE,0
OLIVIA,0
MARY,0
ALTINA,0
KARLA,0
VALDECI,0
OLGA,0
ALESSANDRA,0
IVONE,0
SILVANI,0
ERNESTINA,0
CLEUZA,0
DELMIRA,0
ALCANJA,0
LENI,0
CAMILA,0
GUILHERMINA,0
CARMEM,0
ODETE,0
DELFINA,0
IVANETE,0
ROSIMEIRE,0
FATIMA,0
DIONILIA,0
FLORIZA,0
FELICIDADE,0
NELI,0
HELIA,0
MARIENE,0
GRACINA,0
MARLI,0
ANGELICA,0
IZAURINA,0
ANALICE,0
