id,un
CUNHA,1
BORGES,1
LISBOA,0
ARAUJO,2
SOUSA,2
SANTOS,2
CRUZ,1
MELO,1
CARVALHO,2
SILVA,2
LEITE,1
LIMA,2
KRAHO,0
VIANA,0
JAVAE,0
MACEDO,1
REIS,1
COSTA,2
BRITO,1
ANJOS,0
MARANHAO,0
ALMEIDA,1
OLIVEIRA,2
RODRIGUES,2
CASTRO,1
CAMPOS,1
BEZERA,1
PIRES,0
ASSIS,0
ANDRADE,1
CONCEICAO,1
DOURADO,0
REZENDE,0
FEREIRA,2
MACHADO,1
MOURA,1
CANDIDO,0
FREIRE,0
MARTINS,1
BONIFACIO,0
RIBEIRO,1
AMORIM,1
RAMOS,1
LUZ,1
BAREIRA,0
LOPES,1
JUNIOR,1
PENHA,0
PEREIRA,2
BAROS,1
DIAS,1
BONFIM,0
AGUIAR,1
PRADO,0
NEGRE,0
NETO,1
ALVES,1
FILHO,1
FERNANDES,1
MENDES,1
MORAIS,1
ALCANTARA,0
SEVERINO,0
ROSA,0
COUTINHO,0
SOBRINHO,0
MARINHO,1
NASCIMENTO,1
SA,1
CARDOSO,1
PIMENTA,0
MUNIZ,0
XERENTE,0
MOTA,1
ABREU,1
BRAGA,0
FREITAS,1
CHAVES,0
LUSTOSA,0
ROCHA,1
MEDRADO,0
JESUS,1
BATISTA,1
SALES,0
GALVAO,0
PINHO,0
MOREIRA,1
PINTO,1
FARIAS,0
MESSIAS,0
PORTO,0
CAVALCANTE,1
SOARES,1
VIEIRA,1
GOMES,1
AMORIN,0
LUCIO,0
ALBUQUERQUE,0
LIRA,0
MARQUES,0
ROSARIO,0
CARNEIRO,1
PASSOS,0
FRAZAO,0
MILHOMEM,0
NERES,0
SARAIVA,0
DANTAS,0
PIMENTEL,0
FEITOSA,1
SANTANA,1
GUIMARAES,1
ALENCAR,1
BAROSO,0
UCHOA,0
NOGUEIRA,0
ARUDA,0
GONCALVES,1
LINO,0
BARBOSA,1
DERNTR,0
MAGALHAES,0
MENEZES,0
ASSUNCAO,0
LUCENA,0
RIOS,0
VALADARES,0
FARIA,0
PARENTE,0
VAZ,0
JARDIM,0
BRASIL,0
MIRANDA,1
RESENDE,0
GUEDES,0
TORES,0
MEDEIRO,0
SILVEIRA,0
CUSTODIO,0
MENESES,0
PAZ,0
ALEXANDRE,0
FRANCA,0
COELHO,1
CORDEIRO,0
NERY,0
PRAZERES,0
LACERDA,0
NOLETO,0
CERQUEIRA,0
B,0
GLORIA,0
MENDONCA,0
PACHECO,0
XAVIER,0
PAULA,0
SAMPAIO,0
FONSECA,0
FRANCO,0
MONTELO,0
MATIAS,0
DAMASCENO,0
